time,Va,Vb,Vc,Vd,I1,I2,I3
0.000000,38890.871094,21213.203125,-451.140533,-141.415070,3.535534,2.166434,1.369100
0.000500,40786.003906,22246.910156,-472.029938,-148.071381,3.707819,2.271894,1.435925
0.001000,42579.187500,23225.011719,-490.408875,-153.949997,3.870835,2.371542,1.499293
0.001500,44265.949219,24145.062500,-506.093689,-158.992172,4.024177,2.465116,1.559062
0.002000,45842.070313,25004.765625,-518.927673,-163.147522,4.167461,2.552369,1.615092
0.002500,47303.605469,25801.966797,-528.782471,-166.374527,4.300328,2.633075,1.667253
0.003000,48646.910156,26534.677734,-535.559753,-168.640961,4.422446,2.707024,1.715422
0.003500,49868.621094,27201.066406,-539.191833,-169.924164,4.533511,2.774026,1.759485
0.004000,50965.683594,27799.464844,-539.642273,-170.211319,4.633244,2.833911,1.799333
0.004500,51935.359375,28328.378906,-536.906738,-169.499542,4.721396,2.886528,1.834868
0.005000,52775.230469,28786.488281,-531.012451,-167.795975,4.797748,2.931750,1.865998
0.005500,53483.183594,29172.646484,-522.018311,-165.117599,4.862108,2.969466,1.892641
0.006000,54057.460938,29485.888672,-510.014221,-161.491226,4.914315,2.999590,1.914724
0.006500,54496.621094,29725.429688,-495.120117,-156.953033,4.954238,3.022055,1.932184
0.007000,54799.570313,29890.673828,-477.484772,-151.548416,4.981779,3.036816,1.944963
0.007500,54965.542969,29981.205078,-457.284424,-145.331345,4.996868,3.043849,1.953019
0.008000,54994.136719,29996.800781,-434.720978,-138.363968,4.999467,3.043152,1.956315
0.008500,54885.269531,29937.419922,-410.019745,-130.715851,4.989570,3.034744,1.954826
0.009000,54639.222656,29803.212891,-383.427673,-122.463470,4.967202,3.018664,1.948538
0.009500,54256.601563,29594.509766,-355.210327,-113.689224,4.932418,2.994972,1.937446
0.010000,53738.371094,29311.837891,-325.649689,-104.480820,4.885306,2.963749,1.921558
0.010500,53085.816406,28955.900391,-295.041199,-94.930267,4.825984,2.925094,1.900889
0.011000,52300.578125,28527.587891,-263.690552,-85.132942,4.754598,2.879128,1.875470
0.011500,51384.621094,28027.974609,-231.911163,-75.186813,4.671329,2.825989,1.845340
0.012000,50340.218750,27458.300781,-200.020355,-65.191185,4.576384,2.765832,1.810551
0.012500,49170.003906,26820.001953,-168.336975,-55.245998,4.470000,2.698834,1.771166
0.013000,47876.878906,26114.662109,-137.177414,-45.450558,4.352444,2.625184,1.727260
0.013500,46464.093750,25344.050781,-106.853157,-35.902790,4.224009,2.545090,1.678918
0.014000,44935.167969,24510.091797,-77.667068,-26.698048,4.085015,2.458776,1.626239
0.014500,43293.933594,23614.873047,-49.910950,-17.928364,3.935812,2.366478,1.569334
0.015000,41544.480469,22660.626953,-23.861879,-9.681283,3.776771,2.268449,1.508322
0.015500,39691.195313,21649.742188,0.219678,-2.039264,3.608290,2.164952,1.443338
0.016000,37738.695313,20584.742188,22.093224,4.921369,3.430790,2.056265,1.374526
0.016500,35691.875000,19468.294922,41.540108,11.131040,3.244716,1.942675,1.302040
0.017000,33555.832031,18303.181641,58.366096,16.527727,3.050530,1.824482,1.226049
0.017500,31335.927734,17092.324219,72.403015,21.057487,2.848721,1.701992,1.146729
0.018000,29037.699219,15838.745117,83.510635,24.675074,2.639791,1.575523,1.064267
0.018500,26666.884766,14545.573242,91.577995,27.344343,2.424262,1.445400,0.978863
0.019000,24229.423828,13216.048828,96.524445,29.038616,2.202675,1.311952,0.890722
0.019500,21731.396484,11853.489258,98.300613,29.740976,1.975582,1.175519,0.800063
0.020000,19179.056641,10461.303711,96.888702,29.444387,1.743551,1.036441,0.707109
0.020500,16578.779297,9042.970703,92.302856,28.151831,1.507162,0.895067,0.612095
0.021000,13937.065430,7602.035645,84.588890,25.876217,1.267006,0.751745,0.515261
0.021500,11260.501953,6142.091797,73.823807,22.640261,1.023682,0.606827,0.416855
0.022000,8555.805664,4666.803223,60.115292,18.476334,0.777801,0.460669,0.317132
0.022500,5829.725098,3179.850098,43.600254,13.426019,0.529975,0.313625,0.216350
0.023000,3089.073242,1684.949097,24.443714,7.539782,0.280825,0.166051,0.114774
0.023500,340.700043,185.836380,2.837073,0.876435,0.030973,0.018300,0.012673
0.024000,-2408.537598,-1313.747803,-21.003897,-6.497481,-0.218958,-0.129274,-0.089684
0.024500,-5151.742188,-2810.041260,-46.840763,-14.508218,-0.468340,-0.276320,-0.192020
0.025000,-7882.070313,-4299.311035,-74.415474,-23.075768,-0.716552,-0.422490,-0.294062
0.025500,-10592.697266,-5777.834961,-103.452522,-32.114532,-0.962972,-0.567438,-0.395534
0.026000,-13276.861328,-7241.924316,-133.661926,-41.534237,-1.206987,-0.710826,-0.496161
0.026500,-15927.813477,-8687.898438,-164.741379,-51.240627,-1.447983,-0.852316,-0.595667
0.027000,-18538.980469,-10112.170898,-196.380981,-61.136909,-1.685362,-0.991579,-0.693783
0.027500,-21103.796875,-11511.162109,-228.264130,-71.124062,-1.918527,-1.128290,-0.790237
0.028000,-23615.878906,-12881.388672,-260.072571,-81.102402,-2.146898,-1.262132,-0.884766
0.028500,-26068.904297,-14219.402344,-291.487946,-90.972046,-2.369900,-1.392791,-0.977109
0.029000,-28456.789063,-15521.884766,-322.196960,-100.634575,-2.586981,-1.519969,-1.067012
0.029500,-30773.556641,-16785.576172,-351.892700,-109.993416,-2.797596,-1.643368,-1.154228
0.030000,-33013.390625,-18007.304688,-380.278168,-118.954971,-3.001217,-1.762703,-1.238515
0.030500,-35170.714844,-19184.025391,-407.069885,-127.429733,-3.197338,-1.877696,-1.319642
0.031000,-37240.128906,-20312.796875,-432.000183,-135.333054,-3.385466,-1.988080,-1.397386
0.031500,-39216.468750,-21390.800781,-454.820038,-142.585968,-3.565133,-2.093598,-1.471535
0.032000,-41094.777344,-22415.333984,-475.301239,-149.115967,-3.735889,-2.194003,-1.541886
0.032500,-42870.375000,-23383.839844,-493.239227,-154.857788,-3.897307,-2.289060,-1.608247
0.033000,-44538.812500,-24293.898438,-508.454865,-159.754120,-4.048983,-2.378544,-1.670439
0.033500,-46095.945313,-25143.242188,-520.796143,-163.756073,-4.190540,-2.462245,-1.728296
0.034000,-47537.847656,-25929.734375,-530.139526,-166.823547,-4.321622,-2.539959,-1.781663
0.034500,-48860.921875,-26651.412109,-536.391846,-168.925964,-4.441902,-2.611502,-1.830400
0.035000,-50061.882813,-27306.480469,-539.490601,-170.042297,-4.551080,-2.676699,-1.874381
0.035500,-51137.718750,-27893.300781,-539.404785,-170.161423,-4.648883,-2.735390,-1.913494
0.036000,-52085.718750,-28410.392578,-536.135315,-169.282104,-4.735065,-2.787426,-1.947640
0.036500,-52903.546875,-28856.480469,-529.714905,-167.413177,-4.809413,-2.832677,-1.976737
0.037000,-53589.144531,-29230.441406,-520.207458,-164.573273,-4.871740,-2.871023,-2.000717
0.037500,-54140.792969,-29531.341797,-507.708191,-160.790787,-4.921890,-2.902363,-2.019527
0.038000,-54557.109375,-29758.423828,-492.342041,-156.103516,-4.959737,-2.926608,-2.033129
0.038500,-54837.074219,-29911.130859,-474.262421,-150.558289,-4.985188,-2.943687,-2.041502
0.039000,-54979.968750,-29989.074219,-453.649841,-144.210480,-4.998179,-2.953542,-2.044636
0.039500,-54985.441406,-29992.058594,-430.710419,-137.123520,-4.998676,-2.956135,-2.042542
0.040000,-54853.480469,-29920.080078,-405.673615,-129.368332,-4.986680,-2.951441,-2.035239
0.040500,-54584.414063,-29773.316406,-378.789063,-121.022232,-4.962219,-2.939453,-2.022767
0.041000,-54178.914063,-29552.134766,-350.325867,-112.168777,-4.925356,-2.920181,-2.005175
0.041500,-53638.003906,-29257.091797,-320.568268,-102.896355,-4.876182,-2.893652,-1.982530
0.042000,-52963.015625,-28888.917969,-289.813232,-93.297523,-4.814820,-2.859910,-1.954909
0.042500,-52155.648438,-28448.535156,-258.368347,-83.468254,-4.741423,-2.819017,-1.922406
0.043000,-51217.921875,-27937.048828,-226.547821,-73.506783,-4.656175,-2.771050,-1.885124
0.043500,-50152.179688,-27355.734375,-194.669815,-63.512722,-4.559289,-2.716106,-1.843183
0.044000,-48961.074219,-26706.041016,-163.052338,-53.585743,-4.451007,-2.654299,-1.796708
0.044500,-47647.597656,-25989.597656,-132.011566,-43.825134,-4.331600,-2.585759,-1.745841
0.045000,-46215.031250,-25208.199219,-101.857925,-34.328503,-4.201366,-2.510634,-1.690732
0.045500,-44666.960938,-24363.796875,-72.892418,-25.190647,-4.060633,-2.429090,-1.631542
0.046000,-43007.222656,-23458.486328,-45.404190,-16.502785,-3.909748,-2.341308,-1.568439
0.046500,-41239.992188,-22494.541016,-19.668180,-8.351810,-3.749090,-2.247487,-1.501603
0.047000,-39369.703125,-21474.382813,4.058241,-0.819240,-3.579064,-2.147844,-1.431220
0.047500,-37400.988281,-20400.539063,25.538465,6.019810,-3.400090,-2.042608,-1.357482
0.048000,-35338.792969,-19275.705078,44.557632,12.096930,-3.212617,-1.932026,-1.280591
0.048500,-33188.265625,-18102.691406,60.925705,17.351398,-3.017115,-1.816362,-1.200753
0.049000,-30954.806641,-16884.439453,74.479004,21.730675,-2.814073,-1.695892,-1.118181
0.049500,-28643.976563,-15623.987305,85.082314,25.191061,-2.603998,-1.570907,-1.033091
0.050000,-26261.533203,-14324.472656,92.629730,27.698004,-2.387412,-1.441710,-0.945702
0.050500,-23813.443359,-12989.151367,97.045715,29.226406,-2.164859,-1.308620,-0.856239
0.051000,-21305.861328,-11621.378906,98.286179,29.761011,-1.936897,-1.171967,-0.764930
0.051500,-18745.000000,-10224.545898,96.338730,29.296474,-1.704091,-1.032089,-0.672002
0.052000,-16137.286133,-8802.156250,91.222801,27.837437,-1.467026,-0.889338,-0.577688
